TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Bin,AccountBalance_Bin,Target
14.090000000000032,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,Low,High,1
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,Very High,Very High,0
126.29000000000002,Debit,Mesa,Online,19.000000000000004,Student,56.0,1.0,1122.3500000000004,Medium,Low,3
184.5,Debit,Raleigh,Online,26.0,Student,25.0,1.0,8569.06,Medium,Very High,3
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.6800000000003,Medium,Low,3
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,Very High,Low,2
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,Medium,Medium,3
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.6899999999996,Very High,Low,2
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.9300000000003,Medium,Low,3
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,Very High,Medium,2
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,Very High,High,2
59.31999999999999,Debit,Los Angeles,Branch,71.0,Retired,38.0,1.0,5750.89,Low,High,1
85.76999999999998,Debit,Las Vegas,Branch,38.0,Doctor,93.0,1.0,9146.19,Medium,Very High,0
145.54,Debit,Raleigh,Online,21.0,Student,96.0,1.0,1930.96,Medium,Medium,3
40.31999999999999,Debit,Milwaukee,Branch,37.0,Engineer,95.0,1.0,2686.52,Low,Medium,1
127.44999999999999,Debit,Las Vegas,Online,44.0,Doctor,197.0,1.0,1772.06,Medium,Medium,1
56.170000000000016,Debit,Detroit,Branch,27.0,Student,283.0,1.0,1351.69,Low,Low,3
59.120000000000005,Debit,Baltimore,ATM,29.0,Doctor,257.0,1.0,9823.64,Low,Very High,0
877.81,Debit,Los Angeles,Online,22.0,Student,150.0,1.0,399.0,Very High,Low,2
124.76,Debit,Seattle,Branch,49.0,Engineer,45.0,1.0,5764.72,Medium,High,1
78.13,Debit,Milwaukee,Branch,26.0,Student,145.0,1.0,900.6099999999997,Low,Low,3
335.63,Debit,Oklahoma City,Online,55.0,Retired,216.0,1.0,1019.3899999999999,High,Low,1
328.47,Debit,San Antonio,ATM,63.0,Retired,119.0,1.0,4323.66,High,Medium,1
34.02000000000001,Debit,Philadelphia,Online,38.0,Doctor,19.0,1.0,14214.48,Low,Very High,0
55.31999999999999,Debit,Tucson,ATM,19.000000000000004,Student,117.0,1.0,241.78999999999996,Low,Low,3
304.31,Debit,Louisville,Branch,27.0,Student,33.0,1.0,868.6099999999997,High,Low,3
164.49,Debit,Baltimore,Branch,26.0,Student,75.0,1.0,1509.27,Medium,Medium,3
510.24,Debit,Oklahoma City,Online,19.000000000000004,Student,105.0,1.0,781.6999999999998,Very High,Low,2
626.9,Debit,Denver,Online,26.0,Student,138.0,1.0,265.5100000000002,Very High,Low,2
85.43,Debit,Virginia Beach,Branch,67.0,Doctor,145.0,1.0,14904.9,Medium,Very High,0
169.5,Debit,San Diego,Branch,28.0,Student,142.0,1.0,918.8800000000001,Medium,Low,3
104.63,Debit,Omaha,ATM,62.0,Retired,90.0,1.0,4477.78,Medium,Medium,1
316.95,Debit,Mesa,Branch,25.0,Student,83.0,1.0,1324.0299999999997,High,Low,3
386.52,Debit,Indianapolis,Branch,48.0,Engineer,28.0,1.0,5630.61,Very High,High,2
